=== google-t5/t5-base ===
And for those who want to see more, I've got my book downstairs in the bookshop.Und für diejenigen, die mehr sehen wollen, habe ich mein Buch unten in der Buchhandlung.Und für diejenigen, die mehr sehen wollen, mein Buch gibt es unten im Buchladen.
It turns out that approximately 200 million CAPTCHAsEs stellt sich heraus, dass ca. 200 Millionen CAPTCHAsetwa 200 Millionen CAPTCHAs                       
And watching that videotape later that day        Und ich sah die Videotape später an diesem Tag    Und mir dieses Videoband später an jenem Tag anzusehen,
I'm showing it because --                         Ich zeige es, weil...                             Ich zeige es, weil                                
our most prolific photographer has taken around 350 photos,unser fruchtbarste Fotograf hat ca. 350 Fotos gemacht,den produktivsten Fotografen mit ungefähr 350 Fotos
who has androgen insensitivity syndrome.          die Androgen-Insensibilitätssyndrom hat.          und einen Androgenrezeptor-Defekt hat.            
understanding how the brain controls movement?    zu verstehen, wie der Gehirn Bewegung kontrolliert?zu verstehen, wie das Gehirn Bewegung kontrolliert?
and I couldn't really find the answers I was looking for,und ich konnte nicht wirklich die Antworten finden, die ich suchte,fand aber nicht das, wonach ich eigentlich suchte.
because she came back --                          weil sie zurückkam...                             denn sie schlug zurück -                          
very simple language, beautifully typeset.        sehr einfache Sprache, schön typiert.             wenn eine dieser überbewerteten Personen erwähnt wird. (Lachen)
So wouldn't it be amazing if our phones           So wäre es nicht erstaunlich, wenn unsere TelefoneWäre es nicht erstaunlich, wenn unsere Telefone   
and I felt like I happened upon                   und ich fühlte mich wie ich auf                   Und es kam mir vor, als ob ich zufällig auf       
drilled a hole in the back of the pipe, took some of our firecrackers,bohrte ein Loch in die Rückseite des Rohres, nahm einige unserer Feuerkratzer,bohrten ein Loch in die Rückseite des Rohres, nahmen einige unserer Knallkörper,
So, there's all kinds of bacteria on the Earth    So gibt es alle Arten von Bakterien auf der Erde  Es gibt so viele verschiede Bakterien auf der Erde,
but while he was beginning to do his work,        aber während er begann, seine Arbeit zu tun,      aber als er mit seiner Arbeit anfing,             
and put them between themselves and the person that is interviewing them.und setzen sie zwischen sich und der Person, die sie interviewt.Ihr neuer Geschäftspartner mag Ihnen die Hand schütteln
save 50,000 dollars on their taxes --             sparen Sie 50.000 Dollar auf ihre Steuern --      jedes Jahr 100.000 Dollar an den Verein zur Hungerbekämpfung zu spenden,
and I'll go through each of these.                und ich werde jede von diesen durchgehen.         auf die ich im Einzelnen eingehen möchte.         
That's what progress is about.                    Das ist der Fortschritt.                          Das ist es, worum es beim Fortschritt geht.       
Since we had never been separated,                Da wir nie getrennt waren,                        Weil wir noch nie getrennt gewesen waren          
Robotics had really been about interacting with things,Robotik war wirklich über die Interaktion mit Dingen,Bei der Robotertechnik war es immer darum gegangen, mit Dingen zu interagieren,
It isn't some cultic thing. (Laughter)            Es ist nicht etwas Kultisches. (Laughter)         Es ist auch nicht so ein kultisches Ding. (Gelächter)
I'm looking at you, North Carolina.               Ich sehe dich, North Carolina.                    Ich schaue hierbei dich an, North Carolina.       
are sitting still                                 Sie sitzen still                                  liegen still da                                   
Again, we think that bacteria invented that,      Wieder denken wir, dass die Bakterien das erfunden haben,Wie bereits erwähnt, denken wir, dass Bakterien das erfunden haben
you get some synergy of ideas                     Sie bekommen einige Synergie von Ideen            und dann bekommen Sie Synergie von Ideen,         
But I just know that nature --                    Aber ich weiß nur, dass die Natur...              und ich möchte keine Architektur so entwerfen.    
learn tools to solve their family conflicts       Lernen Sie Werkzeuge, um ihre Familienkonflikte zu lösenMethoden erlernen, um Familienkonflikte zu lösen, 
and it's a mistake to try to treat complex psychiatric disordersund es ist ein Fehler, komplexe psychiatrische Störungen zu behandelnund es ein Fehler ist, komplexe psychische Störungen
how ugly such a regime was                        wie hässlich ein solches Regime war               wie gräßlich so ein Regime ist                    
that now characterizes all of humanity.           die jetzt die ganze Menschheit kennzeichnet.      der nun die ganze Menschheit charakterisiert.     
And that's despite the fact that a supernova is so bright,Und das ist trotz der Tatsache, dass eine Supernova so hell ist,So, könnten wir jetzt die Lichter wieder einschalten, bitte? Danke.
We have only been discussing and consumed         Wir haben nur diskutiert und konsumiert           Wir haben uns nur mit kräftezehrenden Diskussionen
So let's start getting into the countries         Lasst uns also in die Länder einsteigen           Also schauen wir uns die Länder an,               
\"Hey, you've got to remember to pick up bananas on your way home.\"Hey, du musst dich daran erinnern, Bananen auf dem Weg nach Hause zu holen.dass mir diese kleine Stimme sagt:                
I am often so disappointed                        Ich bin oft so enttäuscht                         Ich bin so oft enttäuscht,                        
He didn't tell. He asked questions.               Er sagte es nicht. Er stellte Fragen.             im Kern des Betriebssystems                       
And that potential, that powerful potential,      Und das Potenzial, das mächtige Potenzial,        Und dieses Potential, dieses mächtige Potential,  
thoughts are bouncing around.                     Gedanken fließen herum.                           die Gedanken springen umher.                      
If we were to kill the language, we'd have to find an identity.Wenn wir die Sprache töten würden, müssten wir eine Identität finden.Etwas sehr Einfaches und doch zugleich Kreatives und Überzeugendes.
is after all talk about design, too. This was     ist schließlich auch über Design zu sprechen. Dies warletztlich auch über Design reden. Also, das hier  
Now, how much computation does the brain do?      Nun, wie viel Rechenleistung macht der Gehirn?    Also, wieviel Rechenkraft besitzt denn das Gehirn?
something that caused them to wonder              etwas, was sie zum Erstaunen veranlasste          etwas, das sie nachdenklich machen würde,         
Daddy's got you. That's all that's important.     Daddy hat dich. Das ist alles, was wichtig ist.   Papa hält dich. Das ist alles, was zählt.         
I have a hard time envisioning a future           Ich habe es schwer, eine Zukunft vorzustellen     Ich kann mir schwer vorstellen,                   
is in the core of our being, right?               ist im Kern unseres Seins, nicht wahr?            im Kern unsers Seins liegt, oder?                 
in accepting this particular defeat               in der Annahme dieser besonderen Niederlage       zur Akzeptanz dieser bestimmten Niederlage        
I decided to cross during the day,                Ich entschied, während des Tages zu kreuzen,      Ich entschied mich dazu, die Grenze bei Tag zu überqueren.
around these new developments.                    rund um diese neuen Entwicklungen.                mit diesen neuen Entwicklungen.                   
that's the first step towards taking responsibilitydas ist der erste Schritt, um Verantwortung zu übernehmenist der erste Schritt dazu, Verantwortung dafür zu übernehmen,
And that’s communication.                         Und das ist Kommunikation.                        Und das ist wahre Kommunikation.                  
that washes out the planet.                       das den Planeten austrocknet.                     den Strahler abblocke, der mich blendet:          
that Dioscorides first described in 65 A.D.       dass Dioscorides erstmals 65 v. Chr. beschrieben hat.als erstes durch Dioscorides 65 A.D.              
patterns and connections between numbers          Muster und Verbindungen zwischen Zahlen           Muster und Verbindungen zwischen den Zahlen zu sehen,
CA: That's not 30 percent a year, that's -- MS: Yes, thirty percent a year.CA: Das ist nicht 30 Prozent pro Jahr, das ist - MS: Ja, 30 Prozent pro Jahr.CA: Nicht 30 % im Jahr, das... MS: Doch, 30 % im Jahr.
Well, as best we can tell, there are about two to three million disksNun, wie wir am besten sagen können, gibt es etwa zwei bis drei Millionen PlattenSoweit wir schätzen, sind etwa drei Millionen Platten
to this elegant unification,                      zu dieser eleganten Vereinigung,                  kommt mit einem Preisschild,                      
until you realize that you very much are that woman,bis Sie erkennen, dass Sie sehr viel sind, dass Frau,Als ich älter wurde, akzeptierte ich,             
peer pressure used to help patients --            Peer-Druck verwendet, um Patienten zu helfen --   Gruppenzwang, um Patienten zu helfen,             
lay out in excruciating detail, how to be better than you at checkers?in entsetzlichen Details herauslegen, wie man besser als Sie bei den Checkers sein kann?und bis ins kleinste Detail definieren, wie man sich selbst in Dame übertrifft?
there's a few people from Pakistan in here.       es gibt ein paar Leute aus Pakistan hier.         es sind einige Leute aus Pakistan hier.           
to a light continent.\"                           zu einem hellen Kontinent.\"                      in einen hellen Kontinenten überführen.\"         
Their identity doesn't change.                    Ihre Identität ändert sich nicht.                 Ihre Persönlichkeit ändert sich nicht.            
CNN was saying that Palestinians were dancing in the streets.CNN sagte, dass Palästinenser auf den Straßen tanzen würden.CNN sagte, die Palästinenser tanzten auf der Straße.
is that if you want mass-market success or mass-market acceptance of an idea,ist, dass, wenn Sie mass-market Erfolg oder mass-market Akzeptanz einer Idee wollen,immer fünf Sets der Ausrüstung mitnahmen,         
It's just a reality of anesthesia. The lungs can be paralyzed.Es ist nur eine Realität der Anesthesie. Die Lungen können paralysiert werden.Das ist bei einer Narkose einfach so. Es kann zur Lähmung der Lungen kommen.
Show the state that protecting wilderness         Zeigen Sie dem Staat, dass der Schutz der Wildnis Der Sumpf wird Sie verändern, das verspreche ich. 
if you're going to have the privilege             wenn du das Privileg haben wirst                  dass, wenn man das Privileg hat,                  
So, basically the \"Internet\" has two Internets. Also, im Grunde hat das \"Internet\" zwei Internets.Das Internet besteht also praktisch aus zwei Internets.
The desert's extremely windy as well as being very cold.Die Wüste ist sowohl sehr windig als auch sehr kalt.Die meisten Leute denken, dass die Höcker Wasser speichern.
doesn't begin with ideas or facts or data.        beginnt nicht mit Ideen oder Fakten oder Daten.   nicht mit Ideen, Fakten oder Informationen beginnt.
I hope it's not over.                             Ich hoffe, es ist nicht vorbei.                   Ich hoffe, Sie ist nicht beendet.                 
You're going to see the whole thing take place in this movie.Sie werden sehen, dass alles in diesem Film stattfindet.Sie werden die ganze Sache im Film von statten gehen sehen.
our supply of flu and made more available,        unsere Versorgung mit Grippe und mehr verfügbar gemacht,verdünnen und weiter verfügbar machen können,     
this is where we need to be.                      hier müssen wir sein.                             das ist wo wir hinkommen müssen.                  
We need to recognize just how serious             Wir müssen erkennen, wie ernst                    Wir müssen erkennen, wie ernst                    
they just add a new layer to the existing system of terror.sie fügen einfach einen neuen Schicht zu dem bestehenden Terrorsystem hinzu.Sie fügt sich lediglich zum Dispositiv des existenten Terrors hinzu.
and the results are in:                           und die Ergebnisse sind in:                       Nun liegen Ergebnisse vor:                        
Why wouldn't they just go to a shop and buy a bag of nutsWarum würden sie nicht einfach in einen Laden gehen und eine Tasche mit Nüssen kaufenWarum gehen sie nicht einfach in einen Laden und kaufen eine Tüte Nüsse,
that maybe there is many more possibilities       dass es vielleicht viele weitere Möglichkeiten gibtdass es vielleicht viel mehr Möglichkeiten gibt   
I had woven carbon fiber sprinting legs           Ich hatte gewebte Carbonfaser sprintende Beine    Ich hatte Sprintbeine aus gewebten Kohlenstofffasern,
And then 10 years later everything changed.       Und dann 10 Jahre später änderte sich alles.      Und 10 Jahre später, änderte sich alles.          
The processing, of course, begins with the eyes.  Die Verarbeitung beginnt natürlich mit den Augen. Der Prozess beginnt natürlich bei den Augen.      
and then here we are in the deep ocean,           und dann sind wir im tiefen Ozean,                die den menschlichen Geist erhellen können.       
with the digital information                      mit der digitalen Information                     mit den digitalen Informationen interagieren      
sort of loosely attached, so it could spin by itself.etwas locker angeschlossen, damit es sich selbst drehen konnte.locker befestigt war, damit es sich allein drehen konnte.
They don’t. Their mothers don’t say to little baby fish,Ihre Mütter sagen den kleinen Fischen nicht,      Das tun sie nicht. Ihre Mütter sagen nicht zum kleinen Babyfisch,
In 1949 we saw the emergence of the modern China  1949 sahen wir die Entstehung des modernen Chinas 1949 sahen wir die Entstehung des modernen Chinas 
that memory is still in people's minds.           dass das Gedächtnis noch in den Köpfen der Menschen ist.ist bis heute im Gedächtnis der Menschen präsent. 
And this is all about darkness                    Und das ist alles über die Dunkelheit             Sie haben diesen Schatten,                        
From China to Brazil, these projects attempt      Von China bis Brasilien versuchen diese Projekte  Von China bis Brasilien versuchen diese Projekte, 
where we decide how we want to treat it.          wo wir entscheiden, wie wir es behandeln wollen.  in dem wir entscheiden, wie wir sie behandeln wollen.
all the way to your deathbed,                     bis zum Todesbett,                                um noch ein paar Spiele zu spielen.               
or for some reason we can't take them down.       oder aus irgendeinem Grund können wir sie nicht abnehmen.oder wir können sie aus anderen Gründen nicht zur Rechenschaft ziehen.
George was actually an alcoholic when they married, and Mary knew it.George war eigentlich ein Alkoholiker, als sie heirateten, und Mary wusste es.als sie sich zum ersten Mal trafen.               
and, I would say, nakedness,                      und, ich würde sagen, nackt,                      und, würde ich sagen, Nacktheit,                  
but enough to do an unbelievable amount of damage.aber genug, um eine unglaubliche Menge Schaden zu tun.aber genug, um einen unglaublichen Schaden anzurichten.
people who are attracted to the ritualistic side, Menschen, die auf die rituelle Seite gezogen werden,Menschen, die sich zur rituellen Seite hingezogen fühlen,
actually have the capability or the interest in going under the waterhaben tatsächlich die Fähigkeit oder das Interesse, unter dem Wasser zu gehenbesitzt die Fähigkeiten oder das Interesse um unterzutauchen
from neurons in the fly's brain while the fly     von neuronen im Gehirn der Fliege während die Fliegeim Gehirn der Fliege aufzeichnen –                
are early detection, early intervention.          sind frühe Erkennung, frühe Intervention.         sind Früherkennung, schnelles Gegensteuern.       
and I won't go through them all --                und ich werde sie nicht alle durchgehen --        wir sagen ihr nicht, was passieren wird           
It's because I didn't have a self to get in the way.Es ist, weil ich kein Selbst hatte, das mir in den Weg kam.Das war, weil ich kein Selbst hatte, was dazwischen war.
What I would suggest is that if you want to see   Was ich vorschlagen würde ist, dass, wenn Sie sehen möchtenAlso, was ich vorschlagen würde, wenn Sie sehen möchten,
and she sat there with this penguin, the penguin's flapping, and she let's it go.und sie saß dort mit diesem Pinguine, der flappte, und sie ließ ihn gehen.und sie saß da mit diesem Pinguin, der Pinguin flatterte und sie ließ ihn los.
that is helping us, not only finally with evaluation, assessing what works.das uns hilft, nicht nur bei der Bewertung, was funktioniert.Wir gestalteten Chemie und Physik neu.            
It's really difficult. So we're still having to rely onEs ist wirklich schwierig. Also müssen wir immer noch aufDas ist sehr schwierig. Also müssen wir uns da noch
And he became interested in that.                 Und er wurde daran interessiert.                  Asanga wurde neugierig.                           
to move things around and interact with us        um Dinge herum zu bewegen und mit uns zu interagierenvom Bildschirm in die physische Welt bringen kann, in der wir leben.
and I won't read them for you.                    und ich werde sie nicht für Sie lesen.            und ich werde sie Ihnen auch nicht vorlesen.      
It's the whole planet,                            Es ist der ganze Planet,                          Es ist der ganze Planet,                          
getting a better version                          eine bessere Version erhalten                     nach einer besseren Version des                   
This is one of the jackets you grew?              Dies ist eine der Jacken, die du gewachsen hast?  Dies ist eine der Jacken aus deinem Anbau?        
Seven is prime because it's 1 x 7,                Sieben ist prime, weil es 1 x 7 ist,              7 ist prim, weil 1 x 7 = 7,                       
And so this green dot up here is a driver assistance system.Und so ist dieser grüne Punkt hier oben ein Fahrerassistenzsystem.Aber sehen wir es einmal anders.                  
And now who in this room doesn't know a 14 year-oldUnd wer in diesem Raum nicht ein 14-jähriges      Und wer hier in diesem Raum kennt nicht eine 14-jährige,
There you go. That's connection.                  Da geht es. Das ist die Verbindung.               Da haben Sie's. Das ist Verbundenheit.            
that they would not tell their preacher or rabbi, dass sie ihren Predigten oder Rabbinern nicht sagen würden,die sie nicht einmal ihrem Priester oder Rabbi erzählen würde,
and yet, out of people’s desire for a global ethicund doch aus dem Wunsch der Menschen nach einer globalen Ethikdoch kann dies durch den Wunsch der Menschen nach einer globalen Ethik
We can begin to sculpt the form.                  Wir können beginnen, die Form zu formen.          Wir können anfangen, das Objekt auszuformen.      
plus the influence of Joe and others. We started One Laptop per Child.plus der Einfluß von Joe und anderen. Wir haben One Laptop per Child gegründet.plus der Einfluss von Joe und anderen. Wir starteten das Projekt \"Ein Laptop pro Kind“.
He started showing the symptoms about 12 years ago,Er begann vor etwa 12 Jahren die Symptome zu zeigen,Vor ungefähr zwölf Jahren zeigten sich die ersten Symptome,
Now it's not about the leader anymore;            Jetzt geht es nicht mehr um den Führer;           es geht um sie, Plural.                           
They depend on us for their survival.             Sie sind für ihr Überleben von uns abhängig.      Wir haben hier eine Menge von glücklichen Zusammentreffen.
I didn't have the courage to tell him in that moment that,Ich hatte nicht den Mut, ihm in diesem Moment zu sagen,Ich hatte in diesem Moment nicht den Mut, ihm zu sagen,
and the 2,000 or so nuclear bombs                 und die etwa 2.000 Atombomben                     und den rund 2000 Atombomben                      
It takes lots of experience to learn how to care for people.Es braucht viel Erfahrung, um zu lernen, wie man um Menschen kümmert.Es bedarf viel Erfahrung zu lernen wie man für Menschen sorgt.
I'm sorry to be the bearer of bad news, but somebody has to be.Es tut mir leid, dass ich die schlechten Nachrichten mitbringe, aber jemand muss es sein.Es tut mir leid, dass ich diese schlechte Nachricht überbringen muss, aber irgendwer muss es ja tun.
And most of the imagery is --                     Und die meisten Bilder sind...                    Der Großteil der Bildsprache ist —                
BLEU score: 22.148307168004504

=== DunnBC22/mbart-large-50-English_German_Translation ===
source                                            translation                                       reference                                         
to the atom that it hits.                         zu dem Atom, das er trifft.                       vom Atom, auf welches er trifft.                  
People are more likely to support the use         Menschen sind eher bereit, die Verwendung zu unterstützenDie Menschen unterstützen den Einsatz von Gewalt eher,
That's why in negotiations, often, when things get tough,Deshalb werden Verhandlungen oft schwierig, wenn die Verhandlungen schwierig werden.und ihn wie einen Freund zu behandeln,            
why the buildings failed.                         warum die Gebäude nicht funktionieren.            warum die Gebäude nicht standhielten.             
We have confusion about what we should think about a new technology.Wir haben Zweifel, was wir über eine neue Technologie denken sollten.Wir sind verwirrt über das, was wir über neue Technik denken sollten.
virtually like this and showing people            virtually like this and showing people            wie hier zu sehen ist, und den Menschen           
and I professionally watch YouTube videos.        Ich schaue regelmäßig YouTube-Videos.             Beruflich schaue ich mir YouTube-Videos an.       
we lived for all those years,                     Wir leben für alle diese Jahre,                   lebten wir all die Jahre,                         
GH: Oh, D and F -- too familiar.                  GH: Oh, D und F — doch recht vertraut.            Nun, sie hat C, G, H, A, E ausgesucht.            
which is around 12,000 years old.                 das etwa 12,000 Jahre alt ist.                    der etwa 12000 Jahre alt ist.                     
It was no big deal, but it was a latrine.         Es war keine große Sache, aber es war eine Laterne.Es war nichts Besonderes, aber es war eine Latrine.
Even in the midst of terrible destruction and death and chaos,Inmitten der Katastrophen und der Katastrophen und der Katastrophen und des Chaos,Sogar inmitten schrecklicher Zerstörung, Tod und Chaos,
to all the bright and dazzly things,              zu allen leuchtenden und leuchtenden Dingen,      all die hellen und begeisternden Dinge,           
they even do little stunts.                       sie sogar kleine Stunts machen.                   dass sie sogar kleine Stunts machen.              
And the list looked something like this a little while ago.Und die Liste war ein wenig vor ein paar Jahren wie folgt:Und die Liste sah vor kurzem in etwa so aus.      
but also as a political program.                  auch als politisches Programm.                    sondern auch als politisches Programm.            
comes straight down from the mushroom cloud that goes up.kommt direkt aus der Hühnerhöhle hervor.          direkt vom Atompilz runter kommt.                 
Nothing with a face Monday through Friday.        Nichts mit einem Gesicht Montag bis Freitag.      Nichts mit einem Gesicht von Montag bis Freitag.  
of all other forms of life combined.              alle anderen Lebensformen zusammengefasst.        aller anderen Lebewesen zusammen.                 
And the story of the Intermittent Absorption Refrigerator.Die Geschichte des Intermittenten Absorptionsspeichers.Es sind zwei Bereiche, durch Abstand getrennt sind.
\"Moon is one with God.                           \"Moon ist ein Mensch mit Gott.                   \"Moon ist eins mit Gott.                         
Take the goggles off. Take the goggles off!       Befreit die Augen. Befreit die Augen.             Nimm die Schwimmbrille ab. Nimm die Schwimmbrille ab!
The Temple of Dendur at the Metropolitan in New York -- it's a very somber place.Das Templet von Dendur am Metropolitan in New York — es ist ein sehr somber Ort.Der Tempel von Dendur im Metropolitan in New York -- ein sehr trister Ort.
but they use those same wings to flip over        aber sie benutzen diese gleichen Flügel, um sich zu bewegen.aber sie benutzen dieselben Flügel, um sich umzudrehen
totally trying to capture what cinema is for me,  völlig versucht, zu beschreiben, was für mich das Kino ist,versucht wirklich total einzufangen, was Kino für mich bedeutet,
to be a worthless artifact.                       ein wertloses Erzeugnis.                          als wertlose Artefakte betrachtete.               
and they weren't going to let anyone              und sie waren nicht bereit,                       und sie würden sie sich von niemandem             
to mimic a movement or a facial expression,       um eine Bewegung oder eine Gesichtsausdrücke zu mimicisieren,eine Bewegung oder einen Gesichtsausdruck zu imitieren,
a giant mushroom.                                 eine große Muschel.                               ein riesiger Pilz.                                
and share ideas for free.\"                       und austauschen Sie Ihre Ideen kostenlos.\"       und Ideen austauschen, umsonst.\"                 
the U.S. Navy had a system that was secret at the time,die U.S. Navy hatte ein System, das damals geheim war,verfügte die US-Marine über ein zu der Zeit geheimes System
We had about 20 people who made donations --      Wir hatten etwa 20 Personen, die Geldergaben machten —Wir hatten etwa 20 Leute, welche Geld gespendet hatten --
watching the people going to work,                bei der Arbeit die Menschen beobachten,           zu sehr ähnelten.                                 
it’s famous for its [beach] volleyball courts,    es ist bekannt für seine [Beach] volleyball-Staffeln,der berühmt ist für seine Volleyballfelder        
digitally enabled and transparent,                digital gesteuert und transparent,                digital besser ausgestattet und transparenter,    
I'm going to give you a little clue.              Ich gebe Ihnen einen kleinen Hinweis.             gebe ich Ihnen einen kleinen Hinweis.             
and so it bolsters the colony health and their social immunity.so stärkt sie die Gesundheit der Kolonien und ihre soziale Immunität.Auf diese Weise wird die Gesundheit und soziale Sicherheit des Bienenvolks gestärkt.
and it actually sleeps four people.               und tatsächlich schlafen vier Personen.           können vier Leute darin schlafen.                 
I'll tell you: 158.                               Siehe: 158.                                       Ich verrate es Ihnen: 158.                        
Here you see, with felt and paper water bottles,  Hier sehen Sie, mit Papier- und Kupferwasserbehältern,Hier sehen wir, mit Filz, Papier und Wasserflaschen,
So, we were talking about the differences         So, wir sprachen über die Unterschiede            Also haben wir über die Unterschiede              
It's so unpredictable                             Es ist so unwahrscheinlich                        Es ist so unberechenbar                           
that the West still leads in terms of technological innovation.dass der West noch auf technologische Innovationen zurückgeht.dass der Westen immer noch im Bereich technologischer Innovationen führend ist.
So right now, in my lab, we're combining          Im Labor geht es darum, dass wir zusammenarbeiten.In meinem Labor kombinieren wir gerade zwei Methoden,
that in the next 10 years                         in den nächsten zehn Jahren                       dass in den nächsten 10 Jahren                    
This has been replicated over and over again      Dies wurde über und über wieder reproduziert      Diese bedingten Motivatoren --                    
and we're the caterpillars                        und wir sind die Kaninchen                        und wir sind die Raupen,                          
the dog is a surrogate for you,                   der Hund ist für Sie ein Verwandter,              der Hund ein Stellvertreter für Sie ist,          
nothing would have happened.                      nichts hätte geschehen.                           Die Beziehung war eins-zu-eins.                   
not for use in patients.                          nicht für Patienten bestimmt.                     nicht zur Anwendung bei Patienten.                
And they actually use the Nintendo Wii Remote.    Und sie verwenden tatsächlich die Nintendo Wii Remote.die in letzter Zeit viel Aufmerksamkeit bekommen haben
we are polluting so much                          wir sind so schädlich                             verursachen wir so viel Verschmutzung,            
the girl means to mean,                           das Mädchen bedeutet,                             Das Mädchen meint zu meinen,                      
and 18 of those are bats.                         18 davon sind Vögel.                              18 davon sind Fledermäuse.                        
and you need a controller,                        Sie benötigen eine Steuerung,                     und man braucht Steuerung.                        
who had studied the old Vatican mosaic techniques,einer, der die alten Techniken des Vatikans studiert hatte,die die alten vatikanischen Mosaiktechniken studiert hat,
hundreds of thousands of DNA samples from people all over the world.\"Millionen von DNA-Sammlungen von Menschen aller Welt.\"und hunderttausende DNA-Proben aus der ganzen Welt sammeln.
you can lower their demand for oxygen,            Sie können ihre Nachfrage nach Oxygen senken,     und wir sollten das auf eine größere Spielwiese bringen.\"
One of the things I'm pointing out is that        Eine der Dinge, die ich anmerke, ist, dass        Ich will darauf hinaus,                           
Look around the room: chairs, wood,               Blick auf den Raum: Sessel, Holz,                 Sehen Sie sich hier im Raum um, Stühle, Holz.     
So a tremendous fund of knowledge                 So ein enormes Wissenskapital                     Ein unglaublicher Wissensvorrat,                  
is to reconcile three time scales:                die drei Zeitstufen zu bestimmen sind:            und die langfristige Entwicklung der Umwelt.      
They just make it [with] nuts or something.       Sie machen es mit Nüssen oder etwas anderem.      Die bereiten es mit Nüssen oder sowas zu.         
vanish in my face.                                in meinem Gesicht verbleiben.                     vor meinen Augen verschwinden.                    
That was why I put it as a single point up there. Deshalb habe ich es als einziger Punkt aufgeführt.Darum habe ich sie hier als einzelnen Punkt.      
It is, I agree, a nice thing to do.               Es ist, soweit ich weiß, eine gute Sache.         Es ist, das gebe ich zu, ein nettes Projekt.      
that has been shuttle loomed                      das Hubschrauben wurde geräumt                    die schussgewebt wurde                            
They're originally from Crete. They're a seafaring people.Sie stammen ursprünglich aus Crete. Sie sind ein seafaringer Mensch.Sie kommen ursprünglich aus Kreta. Sie sind ein seefahrendes Volk.
and criminals are actually calling Tide \"liquid gold.\"und die kriminellen Behörden sind tatsächlich Tide \"liquid gold.\"Verbrecher nennen Tide tatsächlich \"flüssiges Gold\".
Chinese is always cheating, right?                Chinesisch ist immer cheating, right?             Die Chinesen betrügen immer, nicht?               
And you've all got an idea in your head of the answer.Sie haben alle eine Vorstellung davon, wie die Antwort aussehen könnte.Und sie alle haben eine Vorstellung von der Antwort im Kopf.
And for those who want to see more, I've got my book downstairs in the bookshop.Für die, die mehr sehen wollen, habe ich in der Buchhandlung in der obersten Etage ein Buch.Und für diejenigen, die mehr sehen wollen, mein Buch gibt es unten im Buchladen.
It turns out that approximately 200 million CAPTCHAsEs stellt sich heraus, dass insgesamt 200 Mio. CAPTCHAs vorhanden sind.etwa 200 Millionen CAPTCHAs                       
And watching that videotape later that day        Und später am gleichen Tag diese Aufnahmen zu sehen.Und mir dieses Videoband später an jenem Tag anzusehen,
I'm showing it because --                         Ich habe es deshalb gezeigt, weil --              Ich zeige es, weil                                
our most prolific photographer has taken around 350 photos,unser größter Fotograf hat 350 Fotos aufgenommen, den produktivsten Fotografen mit ungefähr 350 Fotos
who has androgen insensitivity syndrome.          mit undrogensensitivem Syndrom.                   und einen Androgenrezeptor-Defekt hat.            
understanding how the brain controls movement?    Verständnis dafür, wie das Gehirn die Bewegung des Körpers kontrolliert?zu verstehen, wie das Gehirn Bewegung kontrolliert?
and I couldn't really find the answers I was looking for,Ich konnte nicht wirklich die Antworten finden, die ich gesucht habe,fand aber nicht das, wonach ich eigentlich suchte.
because she came back --                          weil sie zurückgegangen ist —                     denn sie schlug zurück -                          
very simple language, beautifully typeset.        sehr einfache Sprache, sehr typisch.              wenn eine dieser überbewerteten Personen erwähnt wird. (Lachen)
So wouldn't it be amazing if our phones           Wie wäre es, wenn wir unsere Telefone hätten?     Wäre es nicht erstaunlich, wenn unsere Telefone   
and I felt like I happened upon                   und es fühlte sich an                             Und es kam mir vor, als ob ich zufällig auf       
drilled a hole in the back of the pipe, took some of our firecrackers,in der Rohrleitung ein Loch drilliert, einige unserer Feuerzeuge beseitigt,bohrten ein Loch in die Rückseite des Rohres, nahmen einige unserer Knallkörper,
So, there's all kinds of bacteria on the Earth    So, es gibt alle Arten von Bakterien auf der Welt Es gibt so viele verschiede Bakterien auf der Erde,
but while he was beginning to do his work,        während er seine Arbeit begann,                   aber als er mit seiner Arbeit anfing,             
and put them between themselves and the person that is interviewing them.und sie zwischen sich und der Person, die sie interviewt hat, legen.Ihr neuer Geschäftspartner mag Ihnen die Hand schütteln
save 50,000 dollars on their taxes --             50,000 Dollar bei den Steuern sparen —            jedes Jahr 100.000 Dollar an den Verein zur Hungerbekämpfung zu spenden,
and I'll go through each of these.                Ich werde jeden dieser Begriffe durchgehen.       auf die ich im Einzelnen eingehen möchte.         
That's what progress is about.                    Das ist das Ziel des Fortschritts.                Das ist es, worum es beim Fortschritt geht.       
Since we had never been separated,                Da wir nie getrennt waren,                        Weil wir noch nie getrennt gewesen waren          
Robotics had really been about interacting with things,Die Robotik hatte wirklich eine Art von Interaktion mit Dingen —Bei der Robotertechnik war es immer darum gegangen, mit Dingen zu interagieren,
It isn't some cultic thing. (Laughter)            Es handelt sich nicht um eine religiöse Sache.    Es ist auch nicht so ein kultisches Ding. (Gelächter)
I'm looking at you, North Carolina.               Ich sehe Sie, North Carolina.                     Ich schaue hierbei dich an, North Carolina.       
are sitting still                                 stehen still                                      liegen still da                                   
Again, we think that bacteria invented that,      Wir sind der Auffassung, dass Bakterien das geschaffen haben,Wie bereits erwähnt, denken wir, dass Bakterien das erfunden haben
